"Selected Filters: All States | FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)"
""
"Total Funding: $1,316,374,135"
"Number of Grants: 1,387"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"Heartland Alliance Health","H8DCS36106","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60604-1286","Cook","IL-07","2020","$748,625"
"Heartland Community Health Clinic","H8DCS36118","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Peoria","IL","61604-3221","Peoria","IL-17","2020","$890,420"
"Heartland Health Center, Inc.","H8DCS35914","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Grand Island","NE","68803-1334","Hall","NE-03","2020","$609,635"
"Heartland International Health Centers","H8DCS36114","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60657-6710","Cook","IL-05","2020","$1,147,910"
"Heartland Medical Clinic, Incorporated","H8DCS36079","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lawrence","KS","66044-1393","Douglas","KS-02","2020","$674,870"
"Henderson County Rural Health Center, Inc.","H8DCS36122","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Oquawka","IL","61469-3204","Henderson","IL-17","2020","$580,820"
"Hennepin County","H8DCS36091","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Minneapolis","MN","55487-0999","Hennepin","MN-05","2020","$578,990"
"Hennepin County","H8DCS36192","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Minneapolis","MN","55411-3047","Hennepin","MN-05","2020","$1,187,660"
"Henry J. Austin Health Center, Inc.","H8DCS36406","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Trenton","NJ","08618-4741","Mercer","NJ-12","2020","$797,240"
"Herald Christian Health Center","H8DCS35784","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Rosemead","CA","91770-3358","Los Angeles","CA-27","2020","$757,475"
"Heritage Health And Housing, Inc.","H8DCS36565","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10031-4611","New York","NY-13","2020","$601,400"
"Hi-Desert Memorial Health Care District","H8DCS35804","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Yucca Valley","CA","92284-7314","San Bernardino","CA-08","2020","$686,510"
"Hidalgo Medical Services","H8DCS36506","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lordsburg","NM","88045-2618","Hidalgo","NM-02","2020","$780,935"
"High Country Community Health","H8DCS36350","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Boone","NC","28607-5000","Watauga","NC-05","2020","$706,085"
"High Plains Community Health Center, Incorporated","H8DCS35894","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lamar","CO","81052-3939","Prowers","CO-04","2020","$728,690"
"Highland Health Providers Corporation","H8DCS36666","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hillsboro","OH","45133-8496","Highland","OH-02","2020","$658,925"
"Highland Medical Center","H8DCS36738","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Monterey","VA","24465-2416","Highland","VA-06","2020","$545,375"
"Hill Country Community Clinic","H8DCS35615","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bella Vista","CA","96008","Shasta","CA-01","2020","$622,910"
"Hilltown Community Health Centers, Inc.","H8DCS35470","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Worthington","MA","01098-9753","Hampshire","MA-01","2020","$655,055"
"Ho-Ola Lahui Hawaii Inc","H8DCS36242","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lihue","HI","96766-1805","Kauai","HI-02","2020","$578,930"
"Holyoke Health Center, Inc.","H8DCS35467","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Holyoke","MA","01040-5144","Hampden","MA-01","2020","$874,625"
"Hope Christian Health Center Corp","H8DCS36418","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","North Las Vegas","NV","89030-0226","Clark","NV-04","2020","$556,955"
"Hope Family Health Services","H8DCS36229","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Westmoreland","TN","37186-5032","Sumner","TN-06","2020","$604,820"
"Hopehealth, Inc.","H8DCS36265","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Florence","SC","29501-2808","Florence","SC-07","2020","$1,381,970"
"Hopewell Health Centers, Inc.","H8DCS36676","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chillicothe","OH","45601-1104","Ross","OH-02","2020","$1,197,440"
"Horizon Health And Wellness, Inc.","H8DCS35428","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Apache Junction","AZ","85120-5501","Pinal","AZ-04","2020","$600,470"
"Horizon Health Care Inc","H8DCS35905","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Howard","SD","57349-8813","Miner","SD-00","2020","$1,061,735"
"Horizon Health Center Inc","H8DCS36471","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jersey City","NJ","07306-3817","Hudson","NJ-10","2020","$831,650"
"Horizon Health Services, Inc.","H8DCS36744","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Waverly","VA","23890-3235","Sussex","VA-04","2020","$586,625"
"Hospital General De Castaner, Inc.","H8DCS36534","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bartolo","PR","00631","Lares","PR-98","2020","$676,940"
"Housing Works Health Services Iii, Inc.","H8DCS36550","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Brooklyn","NY","11208-2763","Kings","NY-08","2020","$642,365"
"Houston Area Community Services, Inc.","H8DCS36513","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77008-5200","Harris","TX-02","2020","$912,080"
"Houston Community Health Centers, Inc.","H8DCS36515","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77020-3022","Harris","TX-29","2020","$756,350"
"Howard Brown Health Center","H8DCS36186","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60613-2010","Cook","IL-09","2020","$1,077,350"
"Hpm Foundation, Inc","H8DCS36530","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Juan","PR","00915-3822","San Juan","PR-98","2020","$866,645"
"Hudson Headwaters Health Network","H8DCS36583","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Queensbury","NY","12804-7880","Warren","NY-21","2020","$1,894,625"
"Hudson River Healthcare, Inc.","H8DCS36593","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Peekskill","NY","10566-2913","Westchester","NY-17","2020","$5,822,300"
"Hunter Health Clinic Inc, The","H8DCS36182","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wichita","KS","67214-4436","Sedgwick","KS-04","2020","$885,545"
"Hurtt Family Health Clinic, Inc.","H8DCS35822","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tustin","CA","92782-0221","Orange","CA-45","2020","$649,385"
"Hyndman Area Health Center, Inc.","H8DCS36645","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hyndman","PA","15545-7379","Bedford","PA-13","2020","$580,865"
"I.M. Sulzbacher Center For The Homeless, Inc.","H8DCS36008","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jacksonville","FL","32202-2847","Duval","FL-05","2020","$811,340"
"Iberia Comprhesive Com Health Cntr, Inc.","H8DCS35808","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New Iberia","LA","70560-5727","Iberia","LA-03","2020","$1,047,815"
"Iliuliuk Family And Health Services, Inc.","H8DCS35396","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Unalaska","AK","99685","Aleutians West","AK-00","2020","$601,265"
"Imperial Beach Community Clinic","H8DCS35627","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Imperial Beach","CA","91932-1503","San Diego","CA-51","2020","$676,760"
"Indian Health Board Of Minneapolis Inc","H8DCS36240","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Minneapolis","MN","55404-3975","Hennepin","MN-05","2020","$644,135"
"Indian Health Center Of Santa Clara Valley","H8DCS35653","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Jose","CA","95125-5212","Santa Clara","CA-18","2020","$924,665"
"Indian Stream Health Center","H8DCS36205","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Colebrook","NH","03576-3206","Coos","NH-02","2020","$570,950"
"Indiana Health Centers Incorporated","H8DCS35662","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Indianapolis","IN","46250-1946","Marion","IN-05","2020","$1,131,800"
"Ingham, County Of","H8DCS35492","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lansing","MI","48911-3800","Ingham","MI-08","2020","$952,970"
"Inland Behavioral And Health Services, Inc.","H8DCS35550","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Bernardino","CA","92405-3919","San Bernardino","CA-31","2020","$654,110"
"Inner City Muslim Action Network","H8DCS36243","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60629-2343","Cook","IL-07","2020","$551,810"
"Innis Community Health Center, Inc.","H8DCS35760","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Batchelor","LA","70715-3212","Pointe Coupee","LA-06","2020","$652,370"
"Institute For Family Health, The","H8DCS36570","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","New York","NY","10035-1217","New York","NY-13","2020","$2,678,645"
"Institutute For Population Health, Inc.","H8DCS35584","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Detroit","MI","48207-3110","Wayne","MI-14","2020","$565,475"
"Intercare Community Health Network","H8DCS35501","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bangor","MI","49013-1246","Van Buren","MI-06","2020","$1,506,800"
"Interior Community Health Center Inc","H8DCS35394","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fairbanks","AK","99701-6407","Fairbanks North Star","AK-00","2020","$609,020"
"International Community Health Services","H8DCS36755","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seattle","WA","98104-3032","King","WA-09","2020","$1,092,815"
"Ironton And Lawrence County Area Community Action Organization","H8DCS36689","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Ironton","OH","45638-1578","Lawrence","OH-06","2020","$723,485"
"Isabella Citizens For Health, Inc.","H8DCS35491","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mount Pleasant","MI","48858-6934","Isabella","MI-04","2020","$607,190"
"Island Health, Inc.","H8DCS35487","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Edgartown","MA","02539-6941","Dukes","MA-09","2020","$561,830"
"Islands Community Medical Services, Inc.","H8DCS36299","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Vinalhaven","ME","04863-4119","Knox","ME-01","2020","$530,990"
"J C Lewis Health Center","H8DCS36034","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Savannah","GA","31401-2391","Chatham","GA-01","2020","$971,945"
"Jane Pauley Community Health Center, Inc.","H8DCS35686","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Indianapolis","IN","46229-2425","Marion","IN-07","2020","$1,007,000"
"Jefferson Community Health Care Centers, Inc","H8DCS35780","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Avondale","LA","70094-2622","Jefferson","LA-02","2020","$742,610"
"Jefferson Comprehensive Care System, Inc.","H8DCS35403","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Pine Bluff","AR","71601-5801","Jefferson","AR-04","2020","$676,730"
"Jefferson Comprehensive Health Center Inc","H8DCS36199","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Fayette","MS","39069-5576","Jefferson","MS-02","2020","$751,265"
"Jefferson Parish Human Services Authority","H8DCS35754","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Metairie","LA","70001-1874","Jefferson","LA-01","2020","$619,025"
"Jemez, Pueblo Of","H8DCS36403","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Jemez Pueblo","NM","87024","Sandoval","NM-03","2020","$562,085"
"Jericho Road Ministries Inc.","H8DCS36608","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Buffalo","NY","14213-1573","Erie","NY-26","2020","$798,905"
"Jessie Trice Community Health System, Inc.","H8DCS35999","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Miami","FL","33142-2826","Miami-Dade","FL-24","2020","$1,974,725"
"Jewish Renaissance Foundation Inc., The","H8DCS36364","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Perth Amboy","NJ","08861-4700","Middlesex","NJ-06","2020","$521,870"
"Jewish Renaissance Medical Center","H8DCS36508","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Perth Amboy","NJ","08861-3396","Middlesex","NJ-06","2020","$985,655"
"Johnson Health Center","H8DCS36752","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lynchburg","VA","24504-2306","Lynchburg City","VA-06","2020","$944,165"
"Juniper Health, Inc.","H8DCS36489","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Beattyville","KY","41311-7484","Lee","KY-05","2020","$699,800"
"Jwch Institute, Inc.","H8DCS35619","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Commerce","CA","90040-1482","Los Angeles","CA-40","2020","$1,416,200"
"Kagman Community Health Centr E, Inc","H8DCS36529","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Saipan","MP","96950","Saipan","MP-98","2020","$542,780"
"Kalihi Palama Health Center","H8DCS36138","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Honolulu","HI","96817-4544","Honolulu","HI-01","2020","$1,021,625"
"Kansas City Care Clinic","H8DCS35953","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kansas City","MO","64111-2501","Jackson","MO-05","2020","$838,175"
"Karuk Tribe","H8DCS35622","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Happy Camp","CA","96039","Siskiyou","CA-01","2020","$576,815"
"Katahdin Valley Health Center","H8DCS36330","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Patten","ME","04765-3007","Penobscot","ME-02","2020","$806,540"
"Kedren Community Health Center, Inc.","H8DCS35792","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90011-5622","Los Angeles","CA-40","2020","$570,200"
"Kenosha Community Health Center Inc","H8DCS35536","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kenosha","WI","53140-4146","Kenosha","WI-01","2020","$815,165"
"Kentucky Mountain Health Alliance, Inc.","H8DCS36332","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Hazard","KY","41701-1973","Perry","KY-05","2020","$571,025"
"Kentucky River Foothills Development Council Inc","H8DCS36346","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Richmond","KY","40475-2457","Madison","KY-06","2020","$543,200"
"Keystone Rural Health Center","H8DCS36618","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chambersburg","PA","17201-7304","Franklin","PA-13","2020","$1,509,260"
"Keystone Rural Health Consortia Inc","H8DCS36627","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Emporium","PA","15834-1302","Cameron","PA-15","2020","$625,835"
"Kiamichi Family Medical Center","H8DCS35542","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Millerton","OK","74750","McCurtain","OK-02","2020","$684,785"
"King, County Of","H8DCS36705","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Seattle","WA","98104-1818","King","WA-07","2020","$879,860"
"Kinston Community Health Center, Incorporated","H8DCS36407","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kinston","NC","28501-4932","Lenoir","NC-03","2020","$731,225"
"Klamath Health Partners Inc","H8DCS35689","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Klamath Falls","OR","97601-3372","Klamath","OR-02","2020","$704,840"
"Knox, County Of","H8DCS36166","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Galesburg","IL","61401-2436","Knox","IL-17","2020","$592,520"
"Knox, County Of","H8DCS36687","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mount Vernon","OH","43050-9084","Knox","OH-07","2020","$572,135"
"Ko`Olauloa Health Center","H8DCS36048","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kahuku","HI","96731-2052","Honolulu","HI-02","2020","$634,325"
"Kodiak Area Native Association","H8DCS35390","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kodiak","AK","99615-6952","Kodiak Island","AK-00","2020","$602,450"
"Kodiak Island Health Care Foundation","H8DCS35391","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kodiak","AK","99615-6602","Kodiak Island","AK-00","2020","$582,695"
"Kokua Kalihi Valley (Comprehensive Family Services)","H8DCS36183","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Honolulu","HI","96819-2539","Honolulu","HI-01","2020","$719,510"
"Konza Prairie Community Health Center Inc","H8DCS36088","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Junction City","KS","66441-4201","Geary","KS-01","2020","$816,905"
"Korean Community Services, Inc.","H8DCS35782","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Anaheim","CA","92805-2912","Orange","CA-46","2020","$548,360"
"Korean Health, Education, Information And Research Center","H8DCS35734","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Los Angeles","CA","90020-5108","Los Angeles","CA-34","2020","$737,735"
"Kosrae Community Health Center","H8DCS36136","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kosrae","FM","96944","Kosrae","FM-99","2020","$419,167"
"Kosrae Department Of Health Services","H8DCS36146","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kosrae","FM","96944","Kosrae","FM-99","2020","$95,826"
"Kuumba Community Health & Wellness Center, Inc.","H8DCS36735","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Roanoke","VA","24017-2716","Roanoke City","VA-06","2020","$749,720"
"La Casa De Buena Salud Inc","H8DCS36399","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Portales","NM","88130-5703","Roosevelt","NM-03","2020","$935,225"
"La Casa De Salud Inc.","H8DCS36567","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Bronx","NY","10459-3270","Bronx","NY-15","2020","$596,105"
"La Clinica De La Raza, Inc.","H8DCS35612","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Oakland","CA","94601-2322","Alameda","CA-13","2020","$2,461,775"
"La Clinica De Los Campesinos, Inc.","H8DCS35539","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Wautoma","WI","54982-6922","Waushara","WI-06","2020","$796,910"
"La Clinica Del Pueblo","H8DCS36415","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tierra Amarilla","NM","87575","Rio Arriba","NM-03","2020","$550,610"
"La Clinica Del Pueblo, Inc.","H8DCS35973","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Washington","DC","20009-4607","District of Columbia","DC-98","2020","$624,095"
"La Clinica Del Valle Family Health Care Center, Inc.","H8DCS35695","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Medford","OR","97501-8957","Jackson","OR-02","2020","$1,166,525"
"La Clinica Tepeyac Inc","H8DCS35919","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Denver","CO","80216-2015","Denver","CO-01","2020","$681,365"
"La Comunidad Hispana, Inc.","H8DCS36636","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Kennett Square","PA","19348-2419","Chester","PA-06","2020","$739,010"
"La Esperanza Clinic, Inc.","H8DCS36479","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Angelo","TX","76901-3812","Tom Green","TX-11","2020","$822,080"
"La Familia Medical Center","H8DCS36392","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Santa Fe","NM","87501-2406","Santa Fe","NM-03","2020","$971,675"
"La Maestra Family Clinic, Inc.","H8DCS35657","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","San Diego","CA","92105-1608","San Diego","CA-51","2020","$1,597,925"
"La Red Health Center, Inc.","H8DCS35957","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Georgetown","DE","19947-4572","Sussex","DE-00","2020","$871,205"
"Lake County Primary Care","H8DCS36032","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Tiptonville","TN","38079-1678","Lake","TN-08","2020","$570,785"
"Lake Superior Community Health Center","H8DCS36151","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Duluth","MN","55807-2730","St. Louis","MN-08","2020","$709,370"
"Lake, County Of","H8DCS36232","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Waukegan","IL","60085-6165","Lake","IL-10","2020","$1,490,120"
"Lakeland Immediate Care Center","H8DCS35490","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Cassopolis","MI","49031-1034","Cass","MI-06","2020","$736,805"
"Lakes Community Health Center, Inc., The","H8DCS35532","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Iron River","WI","54847-4690","Bayfield","WI-07","2020","$824,600"
"Lakeshore Community Health Care, Inc","H8DCS35538","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Sheboygan","WI","53081-2342","Sheboygan","WI-06","2020","$751,010"
"Lakewood Resource And Referral Center Inc.","H8DCS36369","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lakewood","NJ","08701-3425","Ocean","NJ-04","2020","$1,288,685"
"Lamprey Health Care, Inc.","H8DCS36222","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Newmarket","NH","03857-1843","Rockingham","NH-01","2020","$838,580"
"Lana'I Community Health Center","H8DCS36060","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lanai City","HI","96763","Maui","HI-02","2020","$542,510"
"Lancaster Health Center","H8DCS36626","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Lancaster","PA","17603-3374","Lancaster","PA-11","2020","$894,650"
"Lapine Community Health Center","H8DCS35741","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","La Pine","OR","97739-8887","Deschutes","OR-02","2020","$637,175"
"Las Clinicas Del Norte, Incorporated","H8DCS36379","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","El Rito","NM","87530","Rio Arriba","NM-03","2020","$670,985"
"Latino Kids Health","H8DCS36180","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Montebello","CA","90640-4737","Los Angeles","CA-38","2020","$98,908"
"Lawndale Christian Health Center","H8DCS36111","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chicago","IL","60623-2460","Cook","IL-07","2020","$1,739,540"
"Lee County Cooperative Clinic","H8DCS35402","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Marianna","AR","72360-2113","Lee","AR-01","2020","$558,620"
"Legacy Community Health Services, Inc.","H8DCS36453","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Houston","TX","77006-2602","Harris","TX-02","2020","$3,316,820"
"Lewis County Community Health Services","H8DCS36709","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Chehalis","WA","98532-2412","Lewis","WA-03","2020","$947,210"
"Lewis County Primary Care Center, Inc","H8DCS36336","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Vanceburg","KY","41179-7647","Lewis","KY-04","2020","$1,618,415"
